date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:46	242820/242820	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Dec%202015%2001:25:51%20GMT	https://www.nzog.com/assets/HeaderImages/headerlight-10.jpg	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/assets/HeaderImages/headerlight-10.jpg	(from https://www.nzog.com/)
11:22:47	50809/50809	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:27%20GMT	https://www.nzog.com/our-story/management-and-directors/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/our-story/management-and-directors/index.html	(from https://www.nzog.com/)
11:22:47	425104/425104	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202017%2002:54:22%20GMT	https://www.nzog.com/assets/HeaderImages/PEPANZ-banner-2.png	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/assets/HeaderImages/PEPANZ-banner-2.png	(from https://www.nzog.com/)
11:22:47	44269/44269	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:25%20GMT	https://www.nzog.com/our-story/communities/community-panels/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/our-story/communities/community-panels/index.html	(from https://www.nzog.com/)
11:22:48	46613/46613	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:28%20GMT	https://www.nzog.com/our-story/our-strategy/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/our-story/our-strategy/index.html	(from https://www.nzog.com/)
11:22:50	51134/51134	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:29%20GMT	https://www.nzog.com/projects/indonesia/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/projects/indonesia/index.html	(from https://www.nzog.com/)
11:22:50	43618/43618	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:29%20GMT	https://www.nzog.com/projects/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/projects/index.html	(from https://www.nzog.com/)
11:22:50	47528/47528	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:29%20GMT	https://www.nzog.com/projects/new-zealand/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/projects/new-zealand/index.html	(from https://www.nzog.com/)
11:22:51	492075/492075	---MCZ	200	added ('OK')	application/rss+xml	date:Thu,%2007%20Dec%202017%2018:22:28%20GMT	https://www.nzog.com/news/rss	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/news/rss	(from https://www.nzog.com/)
11:22:51	45804/45804	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:31%20GMT	https://www.nzog.com/projects/australia/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/projects/australia/index.html	(from https://www.nzog.com/)
